year,annual_prec_mm
1976,856
1977,1200.2
1978,1229.3
1979,1349.4
1980,918.8
1981,832.3
1982,991.3000000000001
1983,940.5
1984,1266.4
1985,944.1
1986,1076.8
1987,1135.3
1988,864
1989,852.9
1990,939.8000000000001
1991,931.5
1992,802.9
1993,1010.6999999999999
1994,1049.6
1995,1120
1996,1007.8
1997,1006.5
1998,885.1
1999,1229.2
2000,1276.1
2001,1082.8
2002,1142.5
2003,1182.1
2004,672.3
2005,851.7
2006,1245.3
2007,742.1999999999999
2008,1147.7
2009,1083.3
2010,1100.9
2011,772.1
2012,927.8
2013,1251.2
2014,1107.2
2015,770.1
2016,1234.1
2017,728.8
2018,1165.7
2019,1043.5
2020,956.5
2021,1033
2022,903.2
2023,1083.5
2024,1146.7
2025,1268.4
